geoid,name,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
15000US340170058021,"Block Group 1, Hudson, NJ",1649,164,806,104,82,47,66,39,53,33,23,20,0,12,0,12,5,7,3,6,48,23,94,37,88,36,68,31,47,27,85,33,65,33,5,9,29,26,7,10,7,11,18,13,8,10,0,12,5,8,843,142,90,63,58,28,2,4,33,26,3,5,0,12,0,12,0,12,101,75,87,34,111,34,65,29,63,27,50,26,48,33,12,13,32,23,13,14,6,8,33,21,21,19,5,7,10,15
15000US340170103004,"Block Group 4, Hudson, NJ",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
15000US340170104003,"Block Group 3, Hudson, NJ",890,227,432,131,39,32,18,29,20,21,0,12,10,16,0,12,17,27,10,17,66,46,125,80,59,35,17,21,17,20,26,28,8,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,458,118,13,16,50,40,27,32,10,15,0,12,0,12,18,27,17,19,98,61,48,46,73,48,27,30,8,13,27,34,30,45,0,12,0,12,0,12,0,12,0,12,12,18,0,12,0,12
15000US340170108001,"Block Group 1, Hudson, NJ",1670,343,847,219,47,44,58,55,77,87,24,26,0,12,0,12,8,14,84,77,75,53,83,58,70,54,37,34,42,34,85,42,88,52,0,12,10,17,0,12,10,16,15,18,14,23,10,16,10,16,823,172,60,66,15,24,65,58,46,37,2,5,20,32,0,12,37,34,74,49,46,42,115,63,35,31,62,45,59,38,40,29,10,15,10,15,0,12,24,18,42,35,58,43,3,9,0,12
15000US340170114003,"Block Group 3, Hudson, NJ",1921,355,947,176,100,66,60,47,32,32,16,26,9,15,0,12,18,28,21,25,69,64,87,57,30,28,68,46,38,39,52,52,68,59,44,45,55,54,39,39,92,71,13,18,15,18,12,15,9,15,974,250,39,39,51,36,117,117,7,11,23,29,0,12,0,12,30,34,79,55,69,51,112,56,26,24,40,35,144,84,15,18,16,19,31,33,11,20,61,59,57,45,16,18,14,16,16,38
15000US340170115003,"Block Group 3, Hudson, NJ",744,296,417,213,73,87,21,26,21,24,0,12,6,10,0,12,0,12,33,50,6,10,28,31,66,58,11,16,56,63,0,12,22,20,0,12,22,24,0,12,7,12,39,58,0,12,6,9,0,12,327,136,0,12,26,28,4,7,0,12,0,12,0,12,0,12,0,12,20,27,30,39,56,54,103,72,19,20,0,12,12,14,5,10,0,12,6,12,32,50,7,10,7,10,0,12,0,12
15000US340170116001,"Block Group 1, Hudson, NJ",897,259,374,144,0,12,48,50,25,39,20,31,0,12,0,12,0,12,2,7,6,11,0,12,24,37,61,70,58,52,37,30,8,12,19,21,24,21,6,10,8,12,11,17,0,12,17,27,0,12,523,143,8,14,0,12,55,50,37,38,23,32,0,12,0,12,10,16,23,27,57,56,26,34,36,43,9,16,33,33,41,34,6,9,9,14,0,12,32,28,27,27,0,12,83,81,8,12
15000US340170116002,"Block Group 2, Hudson, NJ",874,276,253,92,37,32,26,32,0,12,0,12,0,12,0,12,0,12,0,12,17,20,46,47,0,12,9,15,23,39,7,11,17,19,21,32,28,34,0,12,15,23,7,12,0,12,0,12,0,12,621,213,8,13,56,50,0,12,85,79,0,12,0,12,7,18,35,52,121,89,62,44,17,19,0,12,53,65,57,64,49,35,10,16,0,12,16,25,8,13,18,16,0,12,0,12,19,20
15000US340170116003,"Block Group 3, Hudson, NJ",1367,340,628,203,0,12,101,115,9,14,45,31,0,12,0,12,24,36,6,10,20,32,87,61,58,62,23,17,41,41,60,40,14,17,28,34,8,12,27,35,56,60,8,11,0,12,13,22,0,12,739,176,45,49,51,56,44,40,22,17,0,12,0,12,0,12,9,13,116,89,75,62,46,44,58,40,49,37,29,27,28,36,28,34,38,34,29,33,16,13,28,33,11,19,17,24,0,12
15000US340170116004,"Block Group 4, Hudson, NJ",830,266,376,143,7,11,9,24,31,42,5,13,11,18,0,12,26,37,22,29,7,11,73,54,20,27,0,12,58,53,0,12,37,36,7,12,8,11,0,12,31,32,7,11,17,23,0,12,0,12,454,185,36,38,9,23,21,36,10,17,0,12,0,12,0,12,15,18,29,34,40,39,63,84,17,20,48,51,17,23,71,52,0,12,35,40,18,27,0,12,0,12,17,24,8,13,0,12
