geoid,name,B01001001,"B01001001, Error",B01001002,"B01001002, Error",B01001003,"B01001003, Error",B01001004,"B01001004, Error",B01001005,"B01001005, Error",B01001006,"B01001006, Error",B01001007,"B01001007, Error",B01001008,"B01001008, Error",B01001009,"B01001009, Error",B01001010,"B01001010, Error",B01001011,"B01001011, Error",B01001012,"B01001012, Error",B01001013,"B01001013, Error",B01001014,"B01001014, Error",B01001015,"B01001015, Error",B01001016,"B01001016, Error",B01001017,"B01001017, Error",B01001018,"B01001018, Error",B01001019,"B01001019, Error",B01001020,"B01001020, Error",B01001021,"B01001021, Error",B01001022,"B01001022, Error",B01001023,"B01001023, Error",B01001024,"B01001024, Error",B01001025,"B01001025, Error",B01001026,"B01001026, Error",B01001027,"B01001027, Error",B01001028,"B01001028, Error",B01001029,"B01001029, Error",B01001030,"B01001030, Error",B01001031,"B01001031, Error",B01001032,"B01001032, Error",B01001033,"B01001033, Error",B01001034,"B01001034, Error",B01001035,"B01001035, Error",B01001036,"B01001036, Error",B01001037,"B01001037, Error",B01001038,"B01001038, Error",B01001039,"B01001039, Error",B01001040,"B01001040, Error",B01001041,"B01001041, Error",B01001042,"B01001042, Error",B01001043,"B01001043, Error",B01001044,"B01001044, Error",B01001045,"B01001045, Error",B01001046,"B01001046, Error",B01001047,"B01001047, Error",B01001048,"B01001048, Error",B01001049,"B01001049, Error"
15000US340030021002,"Block Group 2, Bergen, NJ",670,129,300,64,6,8,20,18,30,19,10,13,0,12,1,3,2,5,7,10,5,7,20,13,8,7,12,14,48,25,6,7,21,18,3,5,8,8,16,17,25,16,15,11,19,11,7,7,11,9,370,87,8,9,35,26,30,30,26,18,12,19,4,7,3,4,5,6,11,12,9,8,15,15,4,5,39,24,26,18,15,10,17,16,23,18,26,21,9,7,23,17,19,14,5,6,6,7
15000US340030130012,"Block Group 2, Bergen, NJ",4732,396,2245,254,276,132,159,100,15,21,16,25,20,32,0,12,43,67,38,63,209,121,256,131,388,114,91,93,109,62,143,68,32,35,69,51,46,35,50,63,47,40,53,43,58,47,79,78,48,38,2487,254,173,120,134,74,49,48,33,35,0,12,0,12,0,12,137,104,202,100,333,131,258,103,259,134,115,93,63,44,217,111,66,65,80,50,0,12,23,28,100,54,69,74,24,27,152,95
15000US340030130025,"Block Group 5, Bergen, NJ",746,258,407,151,0,12,0,12,25,39,0,12,0,12,0,12,0,12,20,33,61,68,0,12,0,12,41,45,50,71,68,55,22,25,29,34,0,12,16,20,12,18,13,23,0,12,0,12,50,47,339,150,45,66,0,12,0,12,31,25,0,12,0,12,0,12,0,12,38,57,0,12,16,26,9,15,0,12,24,26,11,17,0,12,41,37,0,12,26,33,0,12,6,10,10,17,82,78
15000US340030160006,"Block Group 6, Bergen, NJ",1156,269,516,127,0,12,14,23,41,45,70,61,9,14,0,12,0,12,11,19,19,30,0,12,0,12,14,22,55,52,77,60,98,76,0,12,11,17,9,14,6,9,17,20,52,37,0,12,13,22,640,178,0,12,15,23,85,56,14,21,14,22,0,12,0,12,0,12,44,49,8,18,0,12,71,56,64,59,45,31,92,70,11,17,11,12,0,12,0,12,32,29,79,53,23,28,32,30
15000US340030191022,"Block Group 2, Bergen, NJ",1238,276,512,155,86,54,33,33,7,11,20,32,0,12,0,12,5,10,8,13,0,12,15,22,93,63,53,34,30,36,26,24,23,23,0,12,28,30,0,12,17,21,48,35,7,12,0,12,13,14,726,168,71,48,31,29,28,43,3,7,0,12,0,12,0,12,0,12,12,18,112,59,54,40,17,18,84,48,26,40,11,15,41,34,9,14,23,20,59,42,62,47,20,19,14,16,49,37
15000US340030192021,"Block Group 1, Bergen, NJ",2113,215,1049,134,112,50,50,31,16,15,18,15,60,41,9,11,15,22,73,46,44,36,131,57,85,47,121,46,47,36,38,22,49,35,16,13,45,29,7,10,41,30,17,15,12,13,37,24,6,9,1064,149,73,37,38,24,38,22,31,26,3,5,0,12,10,14,130,83,109,44,78,37,104,43,58,35,95,33,98,46,49,34,20,14,15,20,9,13,17,15,44,23,11,13,18,17,16,14
15000US340030551001,"Block Group 1, Bergen, NJ",1137,345,586,253,0,12,32,38,64,48,40,44,53,77,0,12,0,12,94,92,0,12,0,12,0,12,33,38,29,33,146,93,17,27,16,25,12,19,0,12,11,19,26,30,0,12,0,12,13,21,551,188,27,28,13,22,136,90,52,50,0,12,0,12,0,12,22,34,0,12,12,19,0,12,50,44,51,48,69,53,41,39,28,31,12,19,0,12,0,12,0,12,0,12,0,12,38,34
15000US340170074001,"Block Group 1, Hudson, NJ",5052,369,2642,287,194,79,85,65,9,14,53,67,48,74,0,17,7,11,16,25,429,140,511,155,474,140,296,113,129,69,157,125,64,45,13,21,94,80,18,19,34,25,11,19,0,17,0,17,0,17,2410,286,189,94,59,38,73,73,47,69,27,31,0,17,0,17,51,50,205,86,539,147,329,114,277,101,204,121,58,46,126,92,57,66,25,30,13,18,23,22,32,49,15,23,61,86,0,17
15000US340170076001,"Block Group 1, Hudson, NJ",7024,558,3918,387,250,94,88,75,89,85,0,17,19,29,0,17,0,17,48,49,756,212,766,226,935,199,370,130,108,65,186,106,70,57,23,30,89,71,41,44,19,31,21,25,25,35,15,25,0,17,3106,301,236,102,60,45,0,17,0,17,0,17,0,17,0,17,88,82,701,173,719,190,742,190,211,87,78,53,118,64,71,49,0,17,19,34,7,13,20,34,36,37,0,17,0,17,0,17
15000US340170077001,"Block Group 1, Hudson, NJ",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
